Purchase Order ID,Dept  Code,Dept Name,Vendor Number,Vendor Name,Commodity Title,Post Date,Total,Vendor Zip
DPAP10000038,ADP,ADULT PROBATION,14326,PATRICK & CO,FURNITURE- OFFICE;ERGONOMIC,06/11/2010 07:00:00 AM +0000,$8884.71,94104
DPAP10000037,ADP,ADULT PROBATION,77720,AT&T MOBILITY,"CHARGE, EXTRA-ORDINARY FEES/TAXES",05/28/2010 07:00:00 AM +0000,$238.10,980739767
DPAP10000044,ADP,ADULT PROBATION,58893,EN POINTE TECHNOLOGIES SALES INC,"A/V;ENTERTAINMENT SYS,EQPT,ACCESS&SUPPL;RADIOS,STE",06/28/2010 07:00:00 AM +0000,$3242.54,900514429
DPAP10000043,ADP,ADULT PROBATION,12467,MICROBIZ SECURITY CO INC,"COMMUNICATIONS HARDWARE, PERSONAL COMPUTER BASED",06/22/2010 07:00:00 AM +0000,$448.95,94103
DPAP10000042,ADP,ADULT PROBATION,7766,FORT MASON CENTER,"RENT,REAL ESTATE;FACILITY",06/23/2010 07:00:00 AM +0000,$1095.00,941231382
DPAP10000041,ADP,ADULT PROBATION,73078,GALLS - AN ARAMARK CO LLC,"LAW ENFORCEMENT UNIFORMS; POLICE,SHERIFF,PARKING&T",06/22/2010 07:00:00 AM +0000,$3449.25,911890376
DPAP10000039,ADP,ADULT PROBATION,12467,MICROBIZ SECURITY CO INC,"CARDS, PLASTIC, PLAIN, FOR EMBOSSING & IMPRINTING",06/16/2010 07:00:00 AM +0000,$7248.90,94103
DPAP10000036,ADP,ADULT PROBATION,61332,CENVEO,"ENVELOPES, PLAIN (ALL COLORS, SIZES & TYPES)",06/11/2010 07:00:00 AM +0000,$1014.42,911101187
DPAP10000035,ADP,ADULT PROBATION,77720,AT&T MOBILITY,"CELL PHONE & PAGER SYS, EQPT, PARTS  & MAINT/REPAI",06/23/2010 07:00:00 AM +0000,$166.74,980739767
DPAP10000032,ADP,ADULT PROBATION,73078,GALLS - AN ARAMARK CO LLC,RADIO COMMUNICATION EQPT & PARTS; HAND HELD PORTAB,04/26/2010 07:00:00 AM +0000,$547.45,911890376
DPAP10000031,ADP,ADULT PROBATION,73078,GALLS - AN ARAMARK CO LLC,RADIO COMMUNICATION EQPT & PARTS; HAND HELD PORTAB,04/14/2010 07:00:00 AM +0000,$22.98,911890376
DPAP10000030,ADP,ADULT PROBATION,32339,UPTIME RESOURCES,"TONER CARTRIDGE, F/SELECTED MODELS OF HEWLETT-PACK",04/08/2010 07:00:00 AM +0000,$1916.56,94107
DPAP10000029,ADP,ADULT PROBATION,73078,GALLS - AN ARAMARK CO LLC,"VEST,BALLISTIC,LEVEL 3A,W/2 OUTER CARRIERS,MALE,..",04/12/2010 07:00:00 AM +0000,$8513.63,911890376
DPAP10000027,ADP,ADULT PROBATION,56540,S F CHRONICLE- DIV OF HEARST COMMCTN INC,"PRINTED SUBSCRIPTIONS; NEWSPAPERS, JOURNALS, AMEND",04/08/2010 07:00:00 AM +0000,$455.00,94103
DPAG10000103,AGE,DEPT OF AGING/ADULT SERVICES,12172,LEXISNEXIS A DIV OF REED ELSEVIER INC,COMPUTERIZED SUBSCRIPTIONS; ON-LINE ACCESS (NOT IN,04/13/2010 07:00:00 AM +0000,$472.70,900964166
DPAG10000106,AGE,DEPT OF AGING/ADULT SERVICES,12172,LEXISNEXIS A DIV OF REED ELSEVIER INC,COMPUTERIZED SUBSCRIPTIONS; ON-LINE ACCESS (NOT IN,06/04/2010 07:00:00 AM +0000,$441.10,900964166
DPAG10000097,AGE,DEPT OF AGING/ADULT SERVICES,69340,ACCURINT,COMPUTERIZED SUBSCRIPTIONS; ON-LINE ACCESS (NOT IN,01/12/2010 08:00:00 AM +0000,$443.25,191706157
DPAG10000100,AGE,DEPT OF AGING/ADULT SERVICES,12172,LEXISNEXIS A DIV OF REED ELSEVIER INC,COMPUTERIZED SUBSCRIPTIONS; ON-LINE ACCESS (NOT IN,02/09/2010 08:00:00 AM +0000,$339.75,900964166
DPAG10000101,AGE,DEPT OF AGING/ADULT SERVICES,12172,LEXISNEXIS A DIV OF REED ELSEVIER INC,COMPUTERIZED SUBSCRIPTIONS; ON-LINE ACCESS (NOT IN,03/11/2010 08:00:00 AM +0000,$357.90,900964166
DPAG10000104,AGE,DEPT OF AGING/ADULT SERVICES,12172,LEXISNEXIS A DIV OF REED ELSEVIER INC,COMPUTERIZED SUBSCRIPTIONS; ON-LINE ACCESS (NOT IN,05/17/2010 07:00:00 AM +0000,$894.40,900964166
DPAC10001291,AIR,AIRPORT COMMISSION,45641,WAXIE SANITARY SUPPLY,"JANITORIAL EQPT, PARTS & SUPPL INCLUDING EQPT MAIN",03/17/2010 07:00:00 AM +0000,$2957.75,94550
DPAC10001293,AIR,AIRPORT COMMISSION,76910,TEMPER INSULATION CO INC,INSULATION MATLS; CEILING & WALL,03/17/2010 07:00:00 AM +0000,$4948.53,94103
DPAC10001294,AIR,AIRPORT COMMISSION,7673,FLOORCRAFT,FOOD SVC;OVEN/RANGE/STOVE/COOKTOP/GRIDDLE/PARTS,03/18/2010 07:00:00 AM +0000,$1860.41,941240000
DPAC10001295,AIR,AIRPORT COMMISSION,7673,FLOORCRAFT,"WOOD CABINETS & COUNTERS, PREFABRICATED, NOT INSTA",03/17/2010 07:00:00 AM +0000,$1609.65,941240000
DPAC10001298,AIR,AIRPORT COMMISSION,15141,QUAD EXPRESS PRINTING INC,"PRINTING; MAPS, CHARTS, PAMPHLETS, PLATES, ...",03/23/2010 07:00:00 AM +0000,$1354.68,94110
DPAC10001299,AIR,AIRPORT COMMISSION,15141,QUAD EXPRESS PRINTING INC,"PRINTING; BOOKS, BROCHURES, CATALOGS, TIMETABLES,",03/23/2010 07:00:00 AM +0000,$2464.68,94110
DPAC10001300,AIR,AIRPORT COMMISSION,15141,QUAD EXPRESS PRINTING INC,PRINT;ENVELOPE ...................................,03/23/2010 07:00:00 AM +0000,$1758.38,94110
DPAC10001301,AIR,AIRPORT COMMISSION,15141,QUAD EXPRESS PRINTING INC,"PRINTING; FORMS: CONTINUOUS, SINGLE PART, MULTI-PA",03/23/2010 07:00:00 AM +0000,$210.31,94110
DPAC10001302,AIR,AIRPORT COMMISSION,15141,QUAD EXPRESS PRINTING INC,"PRINTING; BOOKS, BROCHURES, CATALOGS, TIMETABLES,",03/23/2010 07:00:00 AM +0000,$1922.80,94110
DPAC10001303,AIR,AIRPORT COMMISSION,2265,APPLIED AIR FILTERS,"HVAC;FILTER,PANEL,DISPOSABLE,PLEATED",04/06/2010 07:00:00 AM +0000,$3509.01,94538
DPAC10001304,AIR,AIRPORT COMMISSION,67520,DIGITAL PRE-PRESS INTERNATIONAL (DPI),PRINTING; LABELS,03/23/2010 07:00:00 AM +0000,$1058.87,94107
DPAC10001305,AIR,AIRPORT COMMISSION,2328,ARCHITECTURAL PLASTICS,"PRINTING/LAMINATING; PLASTIC, VINYL & ALUMINUM PLA",03/23/2010 07:00:00 AM +0000,$4635.48,949541133
DPAC10001306,AIR,AIRPORT COMMISSION,78838,"GOLDENGATE DOOR & WINDOW, INC","METAL DOORS, GATES, FRAMES & PARTS; MANUAL & AUTOM",03/19/2010 07:00:00 AM +0000,$651.53,94124
DPAC10001307,AIR,AIRPORT COMMISSION,19548,WARMAN SECURITY CO,HARDWARE;LOCK/SET/MORTISE/KEY ...,03/23/2010 07:00:00 AM +0000,$6063.45,941090000
DPAC10001308,AIR,AIRPORT COMMISSION,9790,INLAND INDUSTRIAL TIRE,AUTOMOTIVE SYS/COMPONENT/PART/ACCESS/TOOL/EQPT/SUP,03/23/2010 07:00:00 AM +0000,$8071.35,945447110
DPAC10001553,AIR,AIRPORT COMMISSION,35949,CORNER OFFICE,CHARGE;DELIVERY/FREIGHT/SHIPPING,06/29/2010 07:00:00 AM +0000,$7800.10,949030000
DPAC10001552,AIR,AIRPORT COMMISSION,19927,RESOURCE & DESIGN INC,"CHAIR,ERGO,EXECUTIVE,ADJUSTABLE HEIGHT,NO ARMS",06/29/2010 07:00:00 AM +0000,$2005.27,941110000
